,station1,station2,line,time,distance(miles)
0,11,163,1,1,0.25785481594214277
1,11,212,1,2,0.4544490120424679
2,49,87,1,1,0.11114751733045138
3,49,197,1,2,0.4267443156546505
4,82,163,1,2,0.2734073924417827
5,82,193,1,3,0.450734071853611
6,84,148,1,3,0.5915768690780879
7,87,279,1,2,0.43248762989312595
8,113,246,1,2,0.9523730345139813
9,113,298,1,2,0.48512386912015737
10,114,140,1,2,1.1062523231567127
11,137,206,1,3,0.9085653300482037
12,137,298,1,3,0.9910149556774746
13,140,237,1,2,0.8667606464105871
14,143,159,1,2,0.5072294333827462
15,143,206,1,2,0.468960091215354
16,148,279,1,1,0.3331960600762058
17,159,278,1,1,0.45615500908814394
18,185,237,1,2,0.5880431931746817
19,185,281,1,2,0.7673849690284866
20,192,197,1,2,0.47676186545923677
21,192,212,1,2,0.6199900588250575
22,193,278,1,2,0.6564396441218908
23,246,281,1,3,1.0355247402871053
24,13,156,2,2,0.41208115016410646
25,13,250,2,2,0.3844509325371354
26,16,91,2,2,0.7260340357256154
27,16,173,2,2,0.6923692624735016
28,24,156,2,3,1.3375753216151813
29,24,164,2,2,0.9433801841549696
30,28,162,2,1,0.39747546720968135
31,28,192,2,1,0.34391112456145956
32,37,158,2,3,1.0748003582479984
33,37,301,2,3,1.4635570097531838
34,48,126,2,1,0.38985575407879874
35,48,250,2,2,0.6512123858098158
36,51,103,2,2,0.7844188896279736
37,51,215,2,2,1.3553522395170998
38,68,158,2,2,1.2358884218256767
39,68,256,2,3,1.9924916433115982
40,72,286,2,3,0.9143643844211258
41,76,181,2,2,0.7114891236491893
42,76,296,2,3,1.0627474554398986
43,88,256,2,2,1.5853261913895775
44,91,109,2,2,0.49163654324785033
45,98,173,2,3,1.0145784868918628
46,98,211,2,2,0.8969163744469673
47,103,109,2,3,0.7055654739199627
48,105,177,2,2,1.0749255701588343
49,105,196,2,2,1.0393490086347041
50,112,181,2,3,1.5114948552063188
51,112,196,2,2,1.3581092572795685
52,126,259,2,2,0.47669008056411366
53,127,186,2,2,0.42063540865839727
54,127,226,2,1,0.5813641906821139
55,149,162,2,3,0.7398540215997075
56,149,208,2,1,0.5265092258460021
57,153,154,2,3,0.996670020767633
58,153,247,2,2,1.0367546814746607
59,154,230,2,2,1.034699797345803
60,154,275,2,2,1.0850788558890776
61,164,247,2,4,1.6973369413033383
62,177,239,2,3,1.4221485783676615
63,181,286,2,2,0.9921864940945343
64,186,208,2,2,0.39702889148643666
65,192,259,2,2,0.462886549077935
66,211,275,2,2,0.7170937149545675
67,215,301,2,3,0.8141627426520752
68,221,239,2,1,0.5558376992942795
69,221,294,2,3,1.3263032852623997
70,226,296,2,3,0.5576651026981011
71,230,241,2,2,0.7940161465265279
72,241,301,2,2,1.093657620711122
73,2,156,3,2,0.37916147159767044
74,2,263,3,4,0.3142783376861257
75,11,83,3,3,0.5765059236633674
76,11,104,3,3,0.5730900349617465
77,14,92,3,1,0.3179972335790339
78,14,167,3,2,0.4184409092424184
79,18,186,3,2,0.4216042942683675
80,18,193,3,2,0.5794857229969134
81,25,161,3,1,0.3912730372368312
82,25,255,3,2,0.4767456334193432
83,44,161,3,1,0.1667085148223363
84,44,166,3,2,0.17953255791203387
85,83,193,3,3,0.41267698255568874
86,87,255,3,2,0.43524003005019374
87,87,285,3,2,0.4615373709336066
88,90,104,3,2,0.37573843304243254
89,90,145,3,2,0.6164263754647222
90,92,145,3,4,1.0757138727057727
91,99,122,3,4,0.6046006950115772
92,99,236,3,1,0.39215578118233557
93,122,186,3,3,0.6140150640572412
94,156,167,3,2,0.2762547936963234
95,166,263,3,2,0.42250768412206124
96,229,236,3,2,0.7528987041005207
97,229,273,3,2,0.5808917618707189
98,248,273,3,2,0.5213963467748749
99,248,285,3,2,0.3652567949728268
100,3,263,4,2,0.4231349372107333
101,3,295,4,2,0.5623021577464388
102,15,78,4,4,1.2540525274255228
103,15,269,4,2,0.8793604391635019
104,17,110,4,1,0.5269106615950154
105,17,293,4,2,0.3184294686932756
106,18,186,4,2,0.4216042942683675
107,18,193,4,2,0.5794857229969134
108,21,67,4,3,0.8600150176310632
109,21,269,4,2,1.1063815838855218
110,25,161,4,1,0.3912730372368312
111,25,255,4,2,0.4767456334193432
112,33,36,4,2,0.5686493329330848
113,33,164,4,1,0.390376254416307
114,36,289,4,2,0.7985105458281555
115,44,161,4,1,0.1667085148223363
116,44,166,4,2,0.17953255791203387
117,52,1,4,2,0.7746367227327567
118,52,265,4,2,0.5641806339876303
119,66,67,4,4,0.818630146941598
120,66,85,4,3,1.4301917668552369
121,72,73,4,4,0.6786029798242855
122,73,1,4,2,0.6125532838414149
123,74,99,4,3,0.6426433358082042
124,74,122,4,3,0.6482164708644511
125,74,138,4,2,0.7183816201963984
126,74,287,4,2,0.3423891759209022
127,74,293,4,1,0.4055636976844334
128,78,270,4,2,0.8055691298519415
129,80,205,4,2,0.670177360677576
130,80,231,4,2,0.9326404871649838
131,83,193,4,3,0.41267698255568874
132,85,129,4,2,0.9369906228004018
133,87,255,4,2,0.43524003005019374
134,87,285,4,2,0.4615373709336066
135,96,195,4,2,0.4390961654846016
136,96,287,4,1,0.46968469037589095
137,99,236,4,1,0.39215578118233557
138,108,141,4,3,1.0829076989431896
139,108,265,4,3,0.9239148558543179
140,110,209,4,2,0.4661087364126767
141,122,186,4,3,0.6140150640572412
142,129,268,4,2,0.7443419258286973
143,141,213,4,3,1.1773906774664329
144,164,244,4,2,0.6235669205454724
145,166,263,4,2,0.42250768412206124
146,195,205,4,3,0.5940145783477992
147,200,270,4,2,0.7822574455058745
148,200,289,4,2,0.5296117657896127
149,209,242,4,2,0.4334018375015188
150,229,236,4,2,0.7528987041005207
151,229,273,4,2,0.5808917618707189
152,231,300,4,3,0.8299421828302147
153,242,265,4,1,0.3783427233551282
154,244,295,4,3,0.6379094554511829
155,248,273,4,2,0.5213963467748749
156,248,285,4,2,0.3652567949728268
157,267,268,4,3,0.7189953436139265
158,299,300,4,3,0.9430751137149024
159,4,70,13,2,0.8219576389929001
160,4,201,13,2,0.2775792786216156
161,13,225,13,2,1.4051671921727964
162,19,97,13,2,0.5699074254609499
163,20,65,13,2,0.3870084116609387
164,20,217,13,2,0.3658624216877576
165,27,79,13,2,0.21619436114534882
166,27,201,13,2,0.46003238530863944
167,32,70,13,2,0.37654666022173466
168,32,204,13,2,0.5669496201921999
169,42,120,13,2,0.12692839540434167
170,42,292,13,2,0.13369608642181402
171,43,79,13,2,0.5787078269443785
172,43,219,13,2,0.5748670783924587
173,61,171,13,2,0.37977306968036095
174,61,238,13,2,0.3999923548822254
175,63,203,13,2,0.2582063084697548
176,63,219,13,2,0.4091756049999164
177,64,106,13,2,0.39091383403326857
178,64,135,13,2,0.30455867873139186
179,65,97,13,2,0.3353105449789059
180,69,86,13,2,0.371399376585615
181,69,106,13,2,0.4039249457811947
182,86,152,13,2,0.28412685616354993
183,120,238,13,2,0.2070429622835413
184,135,171,13,2,0.2856521278201483
185,155,225,13,2,0.7059302726512614
186,155,284,13,2,0.5908551899726634
187,201,284,13,2,0.4187782116345506
188,201,292,13,2,0.13768586277605852
189,203,217,13,2,0.5578277497246177
190,204,247,13,2,0.6538967892524076
191,225,262,13,2,0.7900311807353194
192,284,292,13,2,0.32518015919898746
193,41,216,5,1,0.2171364255521407
194,41,253,5,2,0.3537013580677086
195,174,253,5,4,1.31725843899686
196,175,253,5,4,1.2583644090064758
197,216,276,5,1,0.2683866214993446
198,225,276,5,1,0.5110069514895826
199,225,295,5,2,0.5766888990989303
200,228,295,5,2,0.4711863248963785
201,3,156,6,4,0.44850503782408996
202,3,295,6,2,0.5623021577464388
203,11,83,6,3,0.5765059236633674
204,11,104,6,3,0.5730900349617465
205,14,92,6,1,0.3179972335790339
206,14,167,6,2,0.4184409092424184
207,15,78,6,4,1.2540525274255228
208,33,36,6,2,0.5686493329330848
209,33,164,6,1,0.390376254416307
210,36,289,6,2,0.7985105458281555
211,78,270,6,2,0.8055691298519415
212,83,193,6,4,0.41267698255568874
213,90,104,6,2,0.37573843304243254
